Ticker,MARKETCAP,NMVOLUME_AVG_CR_10D,PRICE_HIGHEST_CR_52W,PRICE_LOWEST_CR_52W,OUTSTANDING_SHARES,FREEFLOAT,BETA,PRICE_TO_EARNINGS,PRICE_TO_BOOK,DIVIDEND_YIELD,BVPS_CR
NSL,224995158000.0,0.0,22700.0,17200.0,12499731.0,0.12713274183927645,-0.05036619911593143,33.06690653452456,1.693033466716815,0.044444444444444446,10631.80400970229
NSS,37976585400.0,0.0,3700.0,3700.0,10263942.0,0.9796569388252584,0.0,66.59644289674439,0.2298414041830564,0.0,16098.056889058804
NST,137784636900.0,3382.0,13937.0,10406.0,11202003.0,0.8222017973035715,-0.2888782005836129,5.485804274725401,0.6952306915906967,0.08531001602545138,17691.96922514661
NT2,6621148667000.0,1242355.0,28900.0,17324.0,287876029.0,0.27300497812549723,0.6602777659919947,5.199996434285826,1.3625442404192047,0.030434703107988677,16880.18584477209
NTB,15911830800.0,0.0,400.0,400.0,39779577.0,0.8799353748784207,0.0,,,,-46652.964424885664
NTC,3367197194000.0,7001.2,169761.0,136465.0,23999980.0,0.2674185561821302,0.3312852365657581,11.53286026633857,2.5426650517773144,0.04277555209913257,55178.32555331296
NTF,180000000000.0,32.9,20600.0,8000.0,15000000.0,0.41675666666666666,-0.025167881509686463,55.825227674390845,0.9935619056465683,1.7416666666666665e-05,12077.757743933333
NTH,631920100500.0,86.0,60900.0,46613.0,10802053.0,0.4290614941437521,0.06156793355517467,9.58645407977683,3.2724366698555385,0.0879523950195979,17876.587357329205
NTL,1951678400000.0,569505.9,20876.0,13619.0,121979900.0,0.5101906213141589,0.7782677067127536,76.13972447091423,1.2013754561537726,0.0625,13318.067984528598
NTP,10375170429000.0,134869.7,73900.0,54500.0,169806390.0,0.3987805924327287,0.6047089686081866,10.020882967700844,2.452960879803346,0.038465836945144605,24908.67282192384
NTT,223250000000.0,0.0,10700.0,7900.0,23500000.0,0.3532888085106383,-0.029837575413055744,5.65179127144723,0.982392300753496,0.0,9670.271227404255
NTW,198000000000.0,100.0,25000.0,11522.0,10000000.0,0.44585852216748767,0.09846938005668912,10.736632538045695,1.1761377156774426,0.07621579962121212,16834.7632561
NUE,61800000000.0,150.6,12300.0,9100.0,6000000.0,0.4947,0.11652945766578346,8.358187963951526,0.8596879362952662,0.07611814336569579,11981.091702166666
NVB,20786033710800.0,135845.5,18200.0,10200.0,1924632751.0,0.9377167459764831,0.8330158557292949,318.04323567537796,1.5052560195333917,0.0,7174.859199930554
NVL,38433339352800.0,41631235.7,20500.0,10500.0,2234496474.0,0.4634840618683384,0.9712756729330391,12.445003734784557,0.8476852752583494,0.0,20290.549455112276
NVP,424273200000.0,220.0,69900.0,7500.0,10878800.0,0.984023291784187,0.07249043161821898,27.914361343079726,2.895463567329897,0.008391064118591512,13469.34578629996
NVT,688705000000.0,1870.0,9200.0,6940.0,90500000.0,0.057980917127071825,0.21461861535542193,15.054789118832966,2.8764008950966455,0.0,2645.6673730607736
NWT,53550000000.0,0.0,6300.0,6300.0,8500000.0,0.9789411764705882,0.0,6.336342985261796,0.5448700964216688,0.1111111111111111,11562.388982941176
NXT,25740000000.0,480.0,6600.0,3500.0,6600000.0,0.9995151515151515,0.6336706289777181,10.20974253547215,0.28483966899899205,0.0,13323.28468621212
OCB,29959338195000.0,1606702.3,14600.0,9221.0,2663052284.0,0.8487907209260034,0.9126649910487314,7.0116205666521845,0.8584164651656129,0.05722018713457766,13105.526811894919
